CMDLINE C:\projet\projetPlau\palu-env\Scripts\python.exe .\app.py
MEM 1.750000 1673634045.7746
MEM 3.253906 1673634045.8797
MEM 3.253906 1673634045.9897
MEM 3.253906 1673634046.0995
MEM 3.253906 1673634046.2068
MEM 3.253906 1673634046.3141
MEM 3.253906 1673634046.4213
MEM 3.253906 1673634046.5293
MEM 3.253906 1673634046.6365
MEM 3.253906 1673634046.7450
MEM 3.253906 1673634046.8540
MEM 3.253906 1673634046.9640
MEM 3.253906 1673634047.0745
MEM 3.253906 1673634047.1841
MEM 3.253906 1673634047.2923
MEM 3.253906 1673634047.4005
MEM 3.253906 1673634047.5080
MEM 3.253906 1673634047.6155
MEM 3.253906 1673634047.7259
MEM 3.253906 1673634047.8364
MEM 3.253906 1673634047.9447
MEM 3.253906 1673634048.0527
MEM 3.253906 1673634048.1644
MEM 3.253906 1673634048.2729
MEM 3.253906 1673634048.3849
MEM 3.253906 1673634048.4919
MEM 3.253906 1673634048.6009
MEM 3.253906 1673634048.7099
MEM 3.253906 1673634048.8203
MEM 3.253906 1673634048.9304
MEM 3.253906 1673634049.0364
MEM 3.253906 1673634049.1458
MEM 3.253906 1673634049.2558
MEM 3.253906 1673634049.3621
MEM 3.253906 1673634049.4720
MEM 3.253906 1673634049.5811
MEM 3.253906 1673634049.6931
MEM 3.253906 1673634049.8010
MEM 3.253906 1673634049.9111
MEM 3.253906 1673634050.0211
MEM 3.253906 1673634050.1301
MEM 3.253906 1673634050.2380
MEM 3.253906 1673634050.3470
MEM 3.253906 1673634050.4560
MEM 3.253906 1673634050.5641
MEM 3.253906 1673634050.6731
MEM 3.253906 1673634050.7831
MEM 3.253906 1673634050.8910
MEM 3.253906 1673634051.0010
MEM 3.253906 1673634051.1108
MEM 3.253906 1673634051.2198
MEM 3.253906 1673634051.3282
MEM 3.253906 1673634051.4402
MEM 3.253906 1673634051.5496
MEM 3.253906 1673634051.6566
MEM 3.253906 1673634051.7646
MEM 3.253906 1673634051.8746
MEM 3.253906 1673634051.9846
MEM 3.253906 1673634052.0946
